Id,short_name,name,region,pop_size,Created at,Updated at
31,CBC,Cordoba HeadEnd,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
30,CBE,Cordoba Este,CENTRO,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
29,CBC,Cordoba Centro,CENTRO,small,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
28,CON,Constitucion,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
27,CTB,City Bell,SUR,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
26,CIP,Cipolletti,SUR,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
25,SPC1,Cinco Saltos,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
24,CHI,Chivilcoy,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
23,CHA,Chascomus,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
22,CHC,Chacabuco,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
21,CEN,Centro,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
20,CAR,Carapachay,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
19,CSA1,Capital Sarmiento,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
18,CNS1,Cañuelas,,,2017-06-29 14:34:18 UTC,2017-09-27 19:37:02 UTC
17,CGO1,Cañada de Gomez,,,2017-06-29 14:34:18 UTC,2017-09-27 19:37:18 UTC
16,CAM,Campana,AMBA,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
15,CAB,Caballito,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
14,BRA,Bragado,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
13,BON,Bonpland,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
12,BOL,Bolivar,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
11,BER,Berisso,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
9,BEL,Belgrano,AMBA,large,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
8,BAR,Baradero,,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:18 UTC
7,BCE,Balcarce,BUENOS AIRES,,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
6,BBO,Bahia Blanca,SUR,small,2017-06-29 14:34:18 UTC,2017-06-29 14:34:19 UTC
